iter	Passed	Remaining
0	3	3351
1	5	2988
2	8	2862
3	12	3001
4	14	2928
5	17	2918
6	20	2905
7	23	2969
8	26	2955
9	29	2931
10	32	2898
11	35	2892
12	38	2936
13	41	2926
14	44	2912
15	47	2901
16	50	2927
17	53	2921
18	56	2914
19	59	2900
20	61	2887
21	65	2909
22	68	2903
23	71	2889
24	73	2880
25	77	2900
26	81	2920
27	83	2913
28	86	2908
29	90	2930
30	93	2921
31	96	2914
32	99	2908
33	102	2924
34	105	2918
35	108	2911
36	111	2903
37	114	2897
38	118	2910
39	121	2904
40	123	2897
41	126	2891
42	130	2899
43	133	2907
44	136	2904
45	139	2896
46	143	2907
47	146	2915
48	150	2924
49	154	2927
50	158	2952
51	161	2946
52	164	2942
53	167	2939
54	172	2955
55	174	2949
56	178	2946
57	181	2941
58	184	2948
59	187	2942
60	190	2936
61	193	2930
62	197	2940
63	200	2935
64	203	2929
65	206	2926
66	210	2931
67	213	2924
68	216	2920
69	219	2915
70	224	2932
71	227	2926
72	229	2920
73	232	2915
74	237	2926
75	240	2929
76	244	2931
77	248	2943
78	251	2937
79	254	2931
80	258	2927
81	262	2933
82	265	2932
83	268	2926
84	271	2921
85	275	2926
86	278	2920
87	281	2915
88	284	2909
89	287	2902
90	290	2905
91	293	2898
92	296	2893
93	299	2888
94	303	2889
95	306	2885
96	309	2880
97	312	2875
98	316	2877
99	319	2872
100	323	2875
101	325	2869
102	329	2870
103	332	2865
104	335	2859
105	338	2854
106	342	2855
107	345	2850
108	348	2845
109	350	2838
110	354	2840
111	357	2834
112	360	2829
113	363	2824
114	366	2817
115	369	2819
116	373	2815
117	375	2809
118	378	2805
119	382	2806
120	385	2801
121	388	2797
122	391	2792
123	395	2796
124	398	2791
125	401	2786
126	407	2799
127	410	2794
128	413	2790
129	416	2784
130	419	2780
131	422	2780
132	425	2776
133	428	2771
134	431	2767
135	435	2767
136	438	2763
137	441	2759
138	444	2755
139	448	2754
140	451	2750
141	454	2746
142	457	2741
143	461	2741
144	464	2736
145	466	2731
146	470	2727
147	473	2726
148	477	2728
149	480	2725
150	484	2721
151	487	2721
152	490	2717
153	493	2712
154	496	2708
155	500	2707
156	503	2703
157	506	2699
158	509	2695
159	513	2694
160	516	2691
161	519	2686
162	522	2685
163	527	2688
164	530	2683
165	533	2679
166	536	2675
167	540	2674
168	542	2669
169	545	2665
170	548	2661
171	552	2659
172	556	2658
173	559	2653
174	561	2649
175	565	2648
176	568	2644
177	571	2640
178	574	2636
179	577	2632
180	581	2631
181	584	2627
182	587	2622
183	590	2618
184	594	2618
185	597	2614
186	600	2610
187	603	2605
188	607	2604
189	609	2600
190	612	2596
191	615	2592
192	619	2591
193	622	2587
194	625	2583
195	628	2578
196	632	2576
197	634	2572
198	638	2568
199	641	2564
200	643	2559
201	647	2558
202	650	2554
203	653	2550
204	656	2546
205	660	2545
206	663	2541
207	666	2537
208	669	2533
209	672	2531
210	675	2527
211	678	2523
212	681	2519
213	685	2517
214	688	2513
215	691	2510
216	694	2506
217	698	2505
218	701	2501
219	704	2497
220	707	2492
221	710	2490
222	713	2487
223	716	2483
224	719	2479
225	722	2475
226	726	2473
227	729	2469
228	732	2465
229	735	2461
230	738	2459
231	741	2455
232	744	2451
233	747	2447
234	751	2445
235	754	2442
236	757	2438
237	760	2434
238	763	2432
239	767	2428
240	770	2425
241	773	2421
242	776	2417
243	779	2415
244	782	2411
245	785	2407
246	788	2404
247	792	2402
248	795	2398
249	798	2394
250	801	2390
251	804	2388
252	807	2384
253	810	2380
254	813	2376
255	816	2373
256	819	2370
257	822	2366
258	825	2362
259	828	2358
260	832	2356
261	835	2352
262	838	2348
263	841	2345
264	844	2343
265	848	2341
266	851	2338
267	854	2334
268	858	2333
269	861	2329
270	864	2325
271	867	2322
272	871	2320
273	874	2316
274	877	2313
275	880	2309
276	884	2307
277	886	2303
278	889	2299
279	892	2296
280	896	2294
281	899	2291
282	902	2287
283	905	2283
284	909	2281
285	912	2277
286	915	2273
287	918	2269
288	921	2266
289	924	2264
290	927	2260
291	930	2257
292	933	2253
293	937	2251
294	940	2247
295	943	2244
296	947	2242
297	951	2240
298	953	2236
299	956	2232
300	959	2228
301	962	2225
302	965	2221
303	968	2217
304	971	2213
305	974	2209
306	977	2207
307	980	2203
308	983	2200
309	987	2196
310	990	2195
311	993	2190
312	996	2187
313	999	2183
314	1003	2181
315	1006	2177
316	1009	2173
317	1011	2170
318	1015	2167
319	1019	2165
320	1022	2163
321	1025	2159
322	1029	2157
323	1032	2153
324	1035	2150
325	1038	2147
326	1042	2145
327	1045	2141
328	1048	2137
329	1051	2134
330	1054	2131
331	1058	2129
332	1062	2127
333	1065	2125
334	1070	2124
335	1073	2122
336	1076	2118
337	1079	2114
338	1083	2112
339	1086	2109
340	1089	2105
341	1092	2102
342	1096	2100
343	1099	2096
344	1102	2092
345	1105	2089
346	1109	2087
347	1112	2084
348	1115	2080
349	1118	2076
350	1122	2074
351	1125	2071
352	1127	2067
353	1130	2063
354	1134	2061
355	1137	2058
356	1140	2054
357	1143	2051
358	1147	2048
359	1150	2044
360	1153	2041
361	1156	2037
362	1159	2034
363	1163	2033
364	1167	2030
365	1170	2028
366	1174	2026
367	1177	2022
368	1180	2019
369	1183	2015
370	1187	2013
371	1190	2009
372	1193	2006
373	1196	2003
374	1200	2001
375	1203	1997
376	1206	1994
377	1209	1990
378	1213	1988
379	1216	1984
380	1219	1981
381	1222	1977
382	1225	1974
383	1229	1971
384	1232	1968
385	1235	1964
386	1237	1960
387	1241	1958
388	1244	1955
389	1247	1951
390	1250	1948
391	1254	1945
392	1257	1942
393	1260	1939
394	1263	1935
395	1267	1933
396	1270	1930
397	1273	1926
398	1276	1923
399	1280	1920
400	1283	1917
401	1286	1913
402	1289	1910
403	1293	1907
404	1296	1904
405	1299	1900
406	1301	1896
407	1304	1893
408	1308	1890
409	1311	1886
410	1314	1883
411	1316	1879
412	1320	1877
413	1323	1873
414	1326	1869
415	1329	1866
416	1334	1865
417	1336	1861
418	1339	1858
419	1343	1854
420	1347	1853
421	1350	1849
422	1353	1846
423	1356	1842
424	1361	1841
425	1364	1838
426	1367	1835
427	1370	1831
428	1374	1829
429	1377	1826
430	1380	1822
431	1383	1819
432	1389	1819
433	1392	1816
434	1395	1812
435	1399	1810
436	1402	1806
437	1405	1803
438	1408	1799
439	1412	1797
440	1415	1793
441	1418	1790
442	1421	1786
443	1424	1783
444	1427	1780
445	1430	1777
446	1433	1773
447	1436	1770
448	1440	1767
449	1443	1764
450	1446	1761
451	1449	1757
452	1453	1754
453	1456	1751
454	1459	1747
455	1462	1744
456	1465	1741
457	1468	1738
458	1471	1734
459	1474	1730
460	1477	1727
461	1480	1724
462	1483	1721
463	1486	1717
464	1489	1714
465	1493	1711
466	1496	1708
467	1499	1704
468	1502	1701
469	1506	1698
470	1509	1694
471	1512	1691
472	1515	1688
473	1518	1685
474	1521	1681
475	1524	1678
476	1527	1675
477	1531	1672
478	1534	1668
479	1537	1665
480	1540	1662
481	1545	1660
482	1548	1657
483	1551	1653
484	1554	1650
485	1557	1647
486	1560	1644
487	1563	1640
488	1567	1637
489	1570	1634
490	1573	1631
491	1576	1627
492	1579	1624
493	1582	1620
494	1586	1618
495	1589	1614
496	1592	1611
497	1595	1607
498	1598	1605
499	1601	1601
500	1604	1598
501	1607	1594
502	1611	1592
503	1614	1588
504	1617	1585
505	1620	1581
506	1624	1579
507	1627	1576
508	1630	1572
509	1633	1569
510	1636	1566
511	1639	1563
512	1642	1559
513	1646	1556
514	1649	1553
515	1652	1550
516	1655	1546
517	1658	1543
518	1661	1539
519	1665	1537
520	1668	1533
521	1670	1530
522	1673	1526
523	1677	1523
524	1680	1520
525	1683	1517
526	1686	1513
527	1690	1510
528	1693	1507
529	1696	1504
530	1699	1500
531	1703	1498
532	1705	1494
533	1709	1491
534	1712	1488
535	1715	1485
536	1718	1481
537	1721	1478
538	1724	1474
539	1727	1471
540	1731	1468
541	1734	1465
542	1737	1462
543	1740	1458
544	1744	1456
545	1747	1452
546	1750	1449
547	1753	1445
548	1756	1443
549	1759	1439
550	1762	1436
551	1765	1433
552	1769	1430
553	1772	1426
554	1775	1423
555	1778	1420
556	1781	1417
557	1785	1413
558	1788	1410
559	1791	1407
560	1794	1403
561	1797	1401
562	1800	1397
563	1803	1394
564	1806	1391
565	1810	1388
566	1813	1385
567	1817	1381
568	1820	1378
569	1824	1376
570	1827	1372
571	1830	1369
572	1833	1365
573	1836	1363
574	1839	1359
575	1842	1356
576	1846	1353
577	1851	1351
578	1854	1348
579	1857	1345
580	1861	1342
581	1864	1338
582	1867	1335
583	1870	1332
584	1873	1328
585	1877	1326
586	1880	1323
587	1883	1319
588	1886	1316
589	1890	1313
590	1893	1310
591	1896	1306
592	1899	1303
593	1903	1300
594	1905	1297
595	1908	1293
596	1911	1290
597	1915	1287
598	1918	1284
599	1921	1280
600	1924	1277
601	1928	1274
602	1930	1271
603	1933	1267
604	1936	1264
605	1939	1261
606	1943	1258
607	1946	1254
608	1949	1251
609	1952	1248
610	1956	1245
611	1959	1242
612	1962	1238
613	1965	1235
614	1969	1232
615	1972	1229
616	1975	1226
617	1978	1222
618	1981	1219
619	1984	1216
620	1987	1213
621	1990	1209
622	1994	1206
623	1997	1203
624	2000	1200
625	2003	1197
626	2007	1194
627	2010	1190
628	2013	1187
629	2016	1184
630	2019	1181
631	2022	1177
632	2025	1174
633	2029	1171
634	2032	1168
635	2035	1165
636	2038	1161
637	2041	1158
638	2044	1154
639	2048	1152
640	2051	1148
641	2053	1145
642	2056	1142
643	2060	1139
644	2063	1135
645	2067	1132
646	2070	1129
647	2074	1127
648	2077	1123
649	2080	1120
650	2083	1117
651	2087	1114
